;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
52;https://www.superimmo.com/annonces/achat-maison-190m-saint-denis-de-pile-33910-xwb9kf;340000;190;7;5;Saint-Denis-de-Pile (33910);1789;14/07/2024;Terrasse;2 Garages;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/291930.pdf;Exclusivité Square Habitat Immeuble comprenant 2 maisons entièrement rénovées, avec garage et terrasse chacune 1 maison de 85 M² 2 chambres 1 maison de 105 M² 3 chambres Produit idéal pour investisseur, rendement locatif Garantie Revente 7 ans offerte...!;"['190 m² - 7 pièces - 5 chambres - ter. 368 m²', 'Orientation : Est, Ouest, Sud, Sud-Ouest', '2 Garages', 'Terrasse', 'Année de construction : 2004', ""Assainissement : tout à l'égout"", 'Séjour de 50 m²', '2 salles de bain', '4 wc', 'Fenêtres double vitrage, en pvc', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/b9afmmi7dpoxzuofcgz9k5k7b2t3', 'https://photo.superimmo.com/ofljesfotjekp9dfgbozhphjhubm', 'https://photo.superimmo.com/n32qfr4o1dg39oemlpyl5leexngv', 'https://photo.superimmo.com/gidsio1l55rh731hzh67bes9orau', 'https://photo.superimmo.com/8mo59kc93wvl5jp6das97sx7tyz0', None, None, None, None, None]
53;https://www.superimmo.com/annonces/achat-maison-140m-fargues-saint-hilaire-33370-xwb9je;359000;140;6;4;Fargues-Saint-Hilaire (33370);2564;14/07/2024;Meublée;2 terrasses;Honoraires à la charge de l'acquéreur : 2,57% TTC - 9 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/mission/1690/wrs6V/bareme_d_honoraires_2024.pdf;"Votre agence Mon Aide Immo Entre deux Mers, vous propose ce nouveau bien à la vente.
Venez découvrir cette belle maison contemporaine de plain-pied de 140m², son garage attenant, construite en 2010.
Située dans un environnement calme, à proximité des commodités et des écoles.
A seulement 15mn de Fargues st Hilaire, 10mn de Créon et 20mn de la rocade de Bordeaux.
Intérieur :
- Pièce à vivre : Dès l'entrée, vous découvrez une grande pièce à vivre traversant de 55 m² baignée de lumière. Cette pièce s'ouvre sur deux terrasses, l'une exposée à l'est, et l'autre a l'ouest.
- Cuisine : La cuisine, entièrement aménagée et équipée, est ouverte sur le salon et un cellier attenant.
- Chambres : La maison dispose de 4 chambres avec placards intégrés.
Salle de bains : Une salle de bains moderne avec une douche massante, baignoire avec balnéothérapie et une double vasque
Confort et Économie :
- Chauffage : Le chauffage au sol est alimenté par une pompe à chaleur air/eau, garantissant une température agréable et des économies d'énergie.
Points forts :
- Maison de plain-pied de 140 m²
- Jardin de 1050 m², entièrement clôturé
- Cour gravillonnée
- Garage avec porte électrique
Contactez-nous dès maintenant pour organiser une visite.
Honoraires inclus de 2.57% TTC à la charge de l'acquéreur. Prix hors honoraires 350 000 €. Classe énergie B, Classe climat A Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 870.00 et 1230.00 €. Ce bien vous est proposé par un agent commercial. Nos honoraires :
Votre conseiller Mon Aide Immo : Hugo DURBISE - Tél. 0786209545
Agent commercial (Entreprise individuelle)
RSAC 883843484
Afficher plus";['140 m² - 6 pièces - 4 chambres - ter. 1 000 m²', 'Vue dégagée', '1 garage - 3 parkings', '2 terrasses', 'Année de construction : 2010', 'Chauffage individuel: au sol', 'Cuisine ouverte, équipée', '1 salle de bain', 'Wc séparé - 1 wc', '', None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/4rbcxrovoyy5yakksm6k7krt4ehp', 'https://photo.superimmo.com/ybvzjpmtv54nwt7q99qsuoutmvul', 'https://photo.superimmo.com/ay3hoiqndomyqzpllsw2ldcb34l3', 'https://photo.superimmo.com/h9mwpgexfe2ev5stu9l08lnn3fxc', 'https://photo.superimmo.com/a6mmzf7z3lvoe1mps6nvvlm9hyfj', None, None, None, None, None]
54;https://www.superimmo.com/annonces/achat-appartement-28m-arcachon-33120-xwb9j7;199000;28;1;;Arcachon (33120);7107;14/07/2024;Dernier étage;1 balcon (2 m²);Honoraires à la charge de l'acquéreur : 3,11% TTC - 6 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/marin/338/hd15j/bareme_honoraire_1.03.2024_1.docx;"Arcachon - Les Abatilles
Situé à 15 minutes des plages et à proximités des commerces, Marin Immobilier vous propose de découvrir ce studio situé au coeur du quartier des Abatilles à Arcachon.
Au sein d'une petite copropriété de 1970, au premier et dernier étage sans ascenseur, il se compose d'une pièce de vie avec cuisine équipée, une salle d'eau et un toilette séparé et balcon.
Une place de parking privée complète ce bien.
En très bon état.
Une visite ? Contactez-nous.
Honoraires inclus de 3.11% TTC à la charge de l'acquéreur. Prix hors honoraires 193 000 €. Dans une copropriété de 21 lots. Quote-part moyenne du budget prévisionnel 972 €/an. Aucune procédure n'est en cours. Classe énergie E, Classe climat B Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 541.00 et 733.00 €. Ce bien vous est proposé par un agent commercial. Nos honoraires : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr
Afficher plus";"['28 m² - 1 pièce', 'Dernier étage (1er)', 'Orientation : Est / Ouest', 'Vue dégagée', '1 Garage', '1 balcon (2 m²)', 'Année de construction : 1970', 'Chauffage individuel électrique', 'Cuisine équipée', 'Séjour de 28 m²', ""1 salle d'eau"", 'Wc séparé - 1 wc', 'Copropriété de 21 lots', '', None, None, None, None, None, None]";['https://photo.superimmo.com/tw1hxwqkjm72tc78it5lumupcmml', 'https://photo.superimmo.com/888fei16oboxwn3nx861s2vjdh5g', 'https://photo.superimmo.com/7hk56gtfcwxdp3dsh9dl1yak1fpp', 'https://photo.superimmo.com/uqdr77kvpa3hk5lixazhza4iu5ad', 'https://photo.superimmo.com/dxibp7ubl4c209mas7n642w6zrvu', 'https://photo.superimmo.com/t89z9g9bwe3puip6o6c3uoupadl6', None, None, None, None]
55;https://www.superimmo.com/annonces/achat-maison-100m-le-verdon-sur-mer-33123-xwb9g3;233000;100;4;3;Le Verdon-sur-Mer (33123);2330;14/07/2024;1 terrasse;4 Garages;Honoraires à la charge de l'acquéreur : 5,91% TTC - 13 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/company33891sav/146/q03T1/honoraires_2_.pdf;"Spacieuse maison à 'relooker'. De bonne construction, elle se compose d'une cuisine aménagée suffisamment grande pour y prendre ses repas.
Le salon-séjour avec cheminée et climatisation pourrait être réuni avec la cuisine pour faire une seule pièce de vie.
Trois généreuses chambres, une salle d'eau et une salle de bains avec chacune un WC. Attenant à la maison d'environ 40m² pour transformation en 'loft'. Cave.
Dépendances : le tout sur terrain d'environ 800m² à végétaliser.
Honoraires inclus de 5.91% TTC à la charge de l'acquéreur. Prix hors honoraires 220 000 €. Classe énergie C, Classe climat C Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2022 : entre 1200.00 et 1500.00 €. Nos honoraires : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr
Afficher plus";"['100 m² - 4 pièces - 3 chambres - ter. 890 m²', 'Orientation : Nord / Sud', '4 Garages', 'Cave', '1 terrasse', 'Année de construction : 1955', 'Chauffage au fuel', 'Cuisine séparée, équipée', 'Séjour de 28 m²', ""1 salle d'eau - 1 salle de bain"", '2 wc', 'Cheminée', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/e0jsn01507us97uz3xm78unk5il6', 'https://photo.superimmo.com/7u1rzexvi0qm79y1hrx4ho4wa2fc', 'https://photo.superimmo.com/ltz20cmgne1xzjqe271taf2ucuwr', 'https://photo.superimmo.com/ahi8isvq0wu48z2m1dijukxqdv6o', 'https://photo.superimmo.com/blo85l2onwu9wim099hioggto47z', None, None, None, None, None]
56;https://www.superimmo.com/annonces/achat-maison-113m-le-verdon-sur-mer-33123-xwb9g2;420000;113;4;3;Le Verdon-sur-Mer (33123);3717;14/07/2024;1 balcon;2 terrasses;Honoraires à la charge de l'acquéreur : 5,26% TTC - 21 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/company33891sav/146/q03T1/honoraires_2_.pdf;"Découvrez cette maison aux nouvelles normes d'environ 113m², idéalement située avec une vue dégagée sur le fleuve. Etage : trois chambres, possible une ou deux supplémentaires au rdc.
Garage d'environ 30m² isolé, tout le rez-de-chaussée pouvant constituer un second appartement : deux cuisines, deux WC.
Terrain principal d'environ 330m², piscinable +additionnel d'environ 200m², parfait pour une seconde maison locative. 2 terrasses. Proximité Commerces et plages à quelques minutes.
Honoraires inclus de 5.26% TTC à la charge de l'acquéreur. Prix hors honoraires 399 000 €. Dans une copropriété de 2 lots. Aucune procédure n'est en cours. Classe énergie B, Classe climat A Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 791.00 et 1071.00 €. Nos honoraires : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr
Afficher plus";"['113 m² - 4 pièces - 3 chambres - ter. 550 m²', 'Vue dégagée', '2 Garages', '1 balcon', '2 terrasses', 'Année de construction : 1970', 'Chauffage individuel électrique', 'Cuisine équipée', ""1 salle d'eau"", 'Wc séparé - 2 wc', 'Copropriété de 2 lots', '', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/345zngwxvdn0qtb0n2mt79vyavk7', 'https://photo.superimmo.com/36qriz3hi24afj7vukmqp30ap8jn', 'https://photo.superimmo.com/p08k9jqkv07rmi451i8tamd5n6e0', 'https://photo.superimmo.com/jvagw4v84wkpl2c22nxsh7dqkao3', 'https://photo.superimmo.com/c3ljn1mqtqpuz04xku3vix75ibvg', None, None, None, None, None]
57;https://www.superimmo.com/annonces/achat-maison-85m-andernos-les-bains-33510-xwb9ez;668000;85;4;3;Andernos-les-Bains (33510);7859;14/07/2024;Cuisine séparée, équipée;Chauffage: clim. réversible;Honoraires à la charge du vendeur.;"Andernos proche du centre ville à pied, et du port du betey, dans un quartier recherché, au calme, maison des années 70 entièrement rénovée . Elle est composée d'un séjour, une cuisine équipée , 3 chambres, salle d'eau et wc. En plus, ce bien dispose d'une dépendance T3 avec coin cuisine, salle d'eau et 2 chambres avec cave. Le terrain avec garage peut prévoir une piscine ou tout autre agrément. Fonctionnelle et avec un mode de vie 'tout à pied' sur Andernos, cette maison devrait fortement vous séduire.
Honoraires à la charge du vendeur. Classe énergie C, Classe climat A Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 910.00 et 1290.00 €.";"['85 m² - 4 pièces - 3 chambres - ter. 703 m²', 'Année de construction : 1970', 'Chauffage: clim. réversible', 'Cuisine séparée, équipée', 'Séjour de 30 m²', ""1 salle d'eau"", '1 wc', '', None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/fggeqo8qgd2e4jrwgzsybczx4rjq', 'https://photo.superimmo.com/gx90rc70atd9ngqhstuc4w27gln2', 'https://photo.superimmo.com/8vcij0dqe155lijfdxny23yj39xx', 'https://photo.superimmo.com/ejymasp7hk818bdm4w1riphsival', 'https://photo.superimmo.com/73ev2xsvqi2xjvtv3j2qebqxg37n', None, None, None, None, None]
58;https://www.superimmo.com/annonces/achat-maison-106m-gradignan-33170-xwb9ax;337000;106;5;3;Gradignan (33170);3179;14/07/2024;1 garage - 2 parkings;Cuisine séparée;Honoraires à la charge du vendeur. Barème d’honoraires : https://www.daniloimmobilier.fr/i/redac/honoraires?honofor=1;"Secteur calme et résidentiel, maison offrant une belle superficie habitable sur les pièces de vie en rez-de-chaussée, un salon indépendant de 27 m2, une cusine-salle à manger de 43 m2, un espace buanderie, un wc ; 2 chambres et 1 bureau à l'étage avec une salle de bains. Un grand garage attenant de 23 m2. Des travaux sont à prévoir de remise au goût du jour.
Vous profiterez d'un bel espace extérieur verdoyant, et d'une allée de stationnement.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr.";"['106 m² - 5 pièces - 3 chambres - ter. 477 m²', 'Orientation : Est, Ouest, Sud, Sud-Ouest', '1 garage - 2 parkings', 'Année de construction : 1964', 'Chauffage individuel au gaz (radiateurs)', 'Cuisine séparée', 'Séjour de 27 m²', ""1 salle d'eau - 1 salle de bain"", '1 wc', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/xpsr5sim0cthjq46bagv9zb6r5fa', 'https://photo.superimmo.com/8q89fqpgy8e7cht11t0ptlhk5rit', 'https://photo.superimmo.com/f5oquwj8vtdngejk13vnctz2o5f5', 'https://photo.superimmo.com/hmovyb84dc55fdd9csrhspb0az5p', 'https://photo.superimmo.com/ttzsbfhnsn0mway7ybf9fm4vabxa', None, None, None, None, None]
59;https://www.superimmo.com/annonces/achat-maison-150m-saint-laurent-medoc-33112-xwb932;365000;150;6;4;Saint-Laurent-Médoc (33112);2433;14/07/2024;Coin cuisine;Chauffage électrique;Honoraires à la charge du vendeur. Barème d’honoraires : https://www.lfimmo.fr/bareme-des-honoraires.pdf;"Située dans un hameau, commune de Saint Laurent Médoc, maison individuelle non mitoyenne de 150 m²habitable.
Au rez de chaussée, cette maison est composée d'une entrée, salon séjour, cuisine ouverte aménagée de 42m2, sa cheminée avec insert, un cellier,
4 chambres 13, 12,10,10m2, un bureau, une salle de bain et une douche, double vasque, wc séparé.
A l’ étage un plateau nu de 34m2 libre à votre imagination, avec arrivée d’eau et électricité, non isolé (les matériaux sur place),
Une terrasse et son barbecue, un abri de jardin, un jardin arboré (entre autres fruitiers)sur une parcelle de 2041 m²,
Proche de toutes commodités, écoles, de nombreux commerces...
la nature si proche pour de belles ballades à pied, en vélo avec les chemins banalisés. Un transport scolaire pour l’école, collège et lycée à deux pas de la maison,
A 30 minutes des plages, 50 minutes de Bordeaux, Aéroport de Mérignac, Tram,
Chauffage électrique, cheminée insert bois, double vitrage , volets bois, assainissement tout à l’égout, taxe foncière 1600 euros
Annonce publiée par votre agent commercial en immobilier LF immo à Saint Laurent Medoc, 33112 immatriculé au RSAC de BORDEAUX sous le n°882 045 263. Consultez nos tarifs sur le site LF immo.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr.
Afficher plus";['150 m² - 6 pièces - 4 chambres - ter. 2 041 m²', 'Vue dégagée', 'Année de construction : 1992', 'Chauffage électrique', 'Coin cuisine', '1 salle de bain', '1 wc', 'Cheminée', None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/1kbgao99os40syld0zbz4o1cz1v7', 'https://photo.superimmo.com/lem35mlsgwmfytuo6szthxetwnnt', 'https://photo.superimmo.com/g3932mz02vp909tuaxos90t27adl', 'https://photo.superimmo.com/93rc8uxlmphgszol04u42552tp28', None, None, None, None, None, None]
60;https://www.superimmo.com/annonces/achat-appartement-66m-le-bouscat-33110-xwb92j;220000;66;4;2;Le Bouscat (33110);3333;14/07/2024;Exclusivité;Balcon;Barème d’honoraires : https://bareme.safti.fr/;"Situé au Bouscat, ce bel appartement lumineux de 66 m², situé au 6e étage d'une résidence sécurisée avec gardien, bénéficie d'un accès facile aux transports en commun (Bus et Tramway).
L'appartement se compose d'une entrée, d'un double séjour ouvert sur un balcon/loggia, d'une cuisine équipée moderne datant de 2021 avec un balcon/séchoir attenant, de deux chambres avec placards intégrés, d'une salle d'eau avec douche et de WC séparés. La modularité de l'appartement permet de créer une troisième chambre selon vos besoins.
À l'extérieur, l'appartement dispose d'un balcon offrant une vue dégagée et d'un cellier pour un espace de rangement supplémentaire.
Un local vélo est mis à disposition et une place de parking libre extérieure assure un stationnement aisé.
Cet appartement allie confort et commodités avec une vue dégagée, une exposition optimale pour une luminosité naturelle toute la journée, et une bonne performance énergétique grâce au double vitrage récent. Vous bénéficierez également de la fibre optique, d'un ascenseur, et de la présence d'un gardien assurant sécurité et tranquillité d’esprit.
Ses atouts : la vue dégagée, l'exposition, la luminosité, la bonne performance énergétique, le double vitrage récent, la fibre, l'ascenseur, le gardien.
Contactez-moi pour organiser une visite !
Anne
Le bien comprend 2 lots, et il est situé dans une copropriété de 282 lots (les charges courantes annuelles moyennes de copropriété sont de 1500 € et le syndicat des copropriétaires ne fait pas l'objet d'une procédure citée à l'article L. 721-1 du code de la construction et de l'habitation).
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr
Prix de vente : 220 000 €
Honoraires charge vendeur
Contactez votre conseiller SAFTI : Anne RIFLADE, Tél. : 07 67 27 04 29, E-mail : - EI - Agent commercial immatriculé au RSAC de BORDEAUX sous le numéro 842 891 483 - SAFTI – RIFLADE Anne, Conseiller indépendant
Afficher plus";['66 m² - 4 pièces - 2 chambres', 'Balcon', 'Année de construction : 1973', 'Gardien', 'Séjour de 26 m²', '1 wc', None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/be38lbnk78oiufbgkdvg22d93l33', 'https://photo.superimmo.com/fk2vkww8tg9k1yt2sp3jgpjylfgl', 'https://photo.superimmo.com/gd0t321ovudya0ezwhlqnrufonol', 'https://photo.superimmo.com/q5zgz7daz7t9wpanu4n4yioz3wcl', 'https://photo.superimmo.com/051dln3huss1f89flnoe3iqyq470', None, None, None, None, None]
61;https://www.superimmo.com/annonces/achat-appartement-22m-arcachon-33120-xwb91p;199000;22;2;1;Arcachon (33120);9045;14/07/2024;Balcon;Terrasse;Barème d’honoraires : https://bareme.safti.fr/;"Coup de cœur assuré pour ce superbe appartement récent (2005) et entièrement rénové à neuf dont la résidence sécurisée, avec ascenseur, donne directement sur la plage. A 2 pas des commerces.
Entièrement rénové, vous serez séduit par sa pièce de vie lumineuse avec sa cuisine équipée, son grand dressing, sa chambre et sa salle d'eau neuve avec WC. Vous pourrez profiter également d'une belle terrasse sans vis à vis exposée SUD.
Une place de parking et un local vélo complète le tout.
Les +: récent, lumineux, au calme, accès direct à la plage, entièrement rénové, fibre, le mobilier peut rester en place. Nombreux travaux récents réalisés dans la copro: ascenseur, ravalement de façade, parties communes, portail, chauffe eau et radiateur neufs. Place de parking. Proche commerces. Faible charge de copro.
A découvrir sans plus tarder.
Vous pouvez me joindre 7 jours sur 7, de 9h à 20h.
Ne pas se fier à la localisation du bien sur certains sites.
Le bien comprend 1 lot, et il est situé dans une copropriété de 20 lots (les charges courantes annuelles moyennes de copropriété sont de 724 € et le syndicat des copropriétaires ne fait pas l'objet d'une procédure citée à l'article L. 721-1 du code de la construction et de l'habitation).
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr
Prix de vente : 199 000 €
Honoraires charge vendeur
Contactez votre conseiller SAFTI : Christophe JOIE, Tél. : 06 65 70 55 53, E-mail : - EI - Agent commercial immatriculé au RSAC de BORDEAUX sous le numéro 881 549 489 - SAFTI – JOIE Christophe, Conseiller indépendant
Afficher plus";['22 m² - 2 pièces - 1 chambre', '1 Parking', 'Balcon', 'Terrasse', 'Année de construction : 2005', '1 wc', 'Digicode', '', None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/57tas5lo6ji9o8mp13sezmv1oevc', 'https://photo.superimmo.com/5emdh3uz0peg7quhsvtdrmh0ymb9', 'https://photo.superimmo.com/5m4e8svlkwsw1a4e8r6zdubzk328', 'https://photo.superimmo.com/7htwjut4pftaj9jrsbmrdbt14fb4', 'https://photo.superimmo.com/us509jzcjn2naf930zvxgxhvdqgg', None, None, None, None, None]
62;https://www.superimmo.com/annonces/achat-maison-127m-montussan-33450-xwb914;324990;127;5;4;Montussan (33450);2559;14/07/2024;2 Parkings;;Barème d’honoraires : https://bareme.safti.fr/;"Bienvenue à Montussan,
Montussan est située à environ 15 kilomètres à l'est de Bordeaux, la préfecture de la Gironde. Elle fait partie de l'aire d'attraction de Bordeaux, ce qui lui confère un cadre de vie agréable, combinant la tranquillité de la campagne et la proximité d'une grande ville.
Beaucoup d'avantages à vivre sur Montussan
Nouveau collège en 2025
Aire de covoiturage avec parking
Comité des fêtes dynamique
Accès facilité grâce aux transports et la proximité de la RN89.
Je vous présente aujourd'hui cette maison de plain pied
D'une surface de 127 m², vous serez séduit par l'environnement, le calme et la qualité de la construction.
4 chambres
Un grand Garage double et surtout, un studio aménagé permettant d'accueillir vos aînés.
Quelques travaux sont à prévoir.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr
Prix de vente : 324 990 €
Honoraires charge vendeur
Contactez votre conseiller SAFTI : Jérôme BONNEFON, Tél. : 0695071208, E-mail : - EI - Agent commercial immatriculé au RSAC de Bordeaux sous le numéro 753 234 640 - SAFTI – BONNEFON Jérôme, Conseiller indépendant
Afficher plus";['127 m² - 5 pièces - 4 chambres - ter. 958 m²', '2 Parkings', 'Année de construction : 1980', '1 wc', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];[None, None, None, None, None, None, None, None, None, None]
63;https://www.superimmo.com/annonces/achat-maison-154m-carcans-33121-xwb8zm;570000;154;7;4;Carcans (33121);3701;14/07/2024;3 Parkings;;Barème d’honoraires : https://bareme.safti.fr/;"A 10 mn du Lac de Maubuisson, apprécié pour ses activités nautiques et ses sentiers de randonnée, à 15 mn du village de Carcans plage et de sa nature préservée et à proximité des commerces, venez découvrir cette maison familiale aux volumes généreux et au fort potentiel locatif.
Cette villa, construite en 2015 et implantée sur une parcelle de 1200 m², vous séduira par ses prestations de qualité (chauffage au sol, clim. réversible, panneaux solaires,...) et son très bon état d'entretien.
Dés l'entrée franchie, vous retrouvez un vaste séjour (43m²) donnant sur 2 terrasses dont une couverte ainsi qu'une cuisine semi-ouverte entièrement équipée.
La partie nuit se compose d'un espace bureau (chambre d'amis), de 3 chambres dont une parentale avec sa salle d'eau, d'une salle d'eau et d'un espace buanderie.
Pour l'extérieur, vous pourrez profiter d'une piscine sécurisée et chauffée en toute tranquillité grâce aux aménagements paysagés qui vous isolent d'un studio de 18m². Celui-ci, entièrement équipé, se loue très facilement d'avril à octobre ou vous permettra de recevoir vos amis en toute intimité. Un garage, 3 abris et un carport pour camping car complètent le bien.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr
Prix de vente : 570 000 €
Honoraires charge vendeur
Contactez votre conseiller SAFTI : Cyril MASSIAS, Tél. : 0650409223, E-mail : - EI - Agent commercial immatriculé au RSAC de Bordeaux sous le numéro 393 956 164 - SAFTI – MASSIAS Cyril, Conseiller indépendant
Afficher plus";['154 m² - 7 pièces - 4 chambres - ter. 1 200 m²', '3 Parkings', 'Année de construction : 2015', '2 wc', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/alzgbqj6l9xhcu3hu5x5vkdvmhnt', 'https://photo.superimmo.com/igmw0tiix0lh3751pehrcag5xdag', 'https://photo.superimmo.com/5bkv227uy8al639blerderz9kga7', 'https://photo.superimmo.com/lwa1864jhmkyc8bjqk897dixm8e8', 'https://photo.superimmo.com/gkhd6sx3h3c39yojz781zm4s19ds', None, None, None, None, None]
64;https://www.superimmo.com/annonces/achat-maison-132m-pessac-33600-xwb8zl;598000;132;6;4;Pessac (33600);4530;14/07/2024;Terrasse;Piscine;Barème d’honoraires : https://bareme.safti.fr/;"Située dans la charmante ville de Pessac, cette maison bénéficie d'un emplacement idéal, à proximité de toutes les commodités. Quartier résidentiel calme, à quelques pas des écoles, commerces et transports en commun. Un lieu parfait pour une vie paisible et pratique.
Le bien se trouve sur un terrain spacieux de 1081 m²,avec un garage de 19m² offrant de nombreuses possibilités d'aménagement extérieur. Profitez d'un jardin privatif,avec piscine pour des moments de détente en famille, ainsi que d'une terrasse pour recevoir vos invités en plein air. Un espace de parking est également disponible pour plus de commodité.
À l'intérieur, cette maison de 132 m² offre un espace de vie confortable avec 6 pièces ,un séjour de 35m² et une cuisine équipée ,cellier , 4 chambres, 1espace bureau parfait pour accueillir toute la famille. Deux salles de bain sont également disponibles, offrant praticité et intimité. Cette habitation récente, construite en 2020, offre un intérieur moderne et lumineux, avec de nombreuses possibilités d'aménagement personnalisé pour répondre à vos besoins et préférences.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr
Prix de vente : 598 000 €
Honoraires charge vendeur
Contactez votre conseiller SAFTI : Mélanie BECRET, Tél. : 0664963641, E-mail : - EI - Agent commercial immatriculé au RSAC de Bordeaux sous le numéro 917 392 557 - SAFTI – BECRET Mélanie, Conseiller indépendant
Afficher plus";['132 m² - 6 pièces - 4 chambres - ter. 1 081 m²', 'Piscine', 'Terrasse', 'Année de construction : 2020', 'Séjour de 36 m²', '1 wc', None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/77lccg02bm1fr0gam5piox7073r4', 'https://photo.superimmo.com/1uvkdlppmdyf52r3clouii2xeg4v', 'https://photo.superimmo.com/mo9g35mddvozg22emmcevevwua9a', 'https://photo.superimmo.com/7rhadouxf55hvdd4pdnrdmw7w0oy', 'https://photo.superimmo.com/gq5h8zwclr0oeqwuhq09dybcfgii', None, None, None, None, None]
65;https://www.superimmo.com/annonces/achat-maison-108m-listrac-medoc-33480-xwb8yn;250000;108;4;3;Listrac-Médoc (33480);2315;14/07/2024;Exclusivité;Terrasse;Barème d’honoraires : https://bareme.safti.fr/;"À Listrac-Médoc, proche du bourg et de ses commodités, découvrez cette maison ancienne entièrement rénovée, située dans une impasse très calme. D'une surface habitable de 108 m², elle est mitoyenne d'un côté et se situe sur une parcelle d'environ 530 m². La maison se compose d'un hall d'entrée, d'un confortable séjour de 50 m² avec son poêle à bois et une cuisine ouverte.
Une mezzanine de plus de 8 m², idéale pour un bureau ou une chambre d'appoint, surplombe le salon. Elle dispose également d'une salle de bain avec baignoir et douche à l'italienne, d'un WC indépendant et de trois chambres dont une avec sa propre salle d'eau.
Tout est en parfait état, avec un système de chauffage au gaz récent et bien entretenu. Cette demeure bénéficie d'un spacieux extérieur avec sa terrasse, un petit garage en ossature bois ainsi qu'un large espace de stationnement, offrant de nombreuses possibilités d'aménagement supplémentaires.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr
Prix de vente : 250 000 €
Honoraires charge vendeur
Contactez votre conseiller SAFTI : Damien ROY, Tél. : 0766149963, E-mail : - EI - Agent commercial immatriculé au RSAC de Bordeaux sous le numéro 883 383 853 - SAFTI – ROY Damien, Conseiller indépendant
Afficher plus";['108 m² - 4 pièces - 3 chambres - ter. 533 m²', '3 Parkings', 'Terrasse', 'Année de construction : 1950', 'Séjour de 43 m²', '1 wc', None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/tdd5ll1o7bobc187qn1qj454u8kg', 'https://photo.superimmo.com/y1vgnlp4ncbq4cn1blebcpickot7', 'https://photo.superimmo.com/hty3v0l9vepyrqe35yb1bkj4qtvm', 'https://photo.superimmo.com/65sp35rdoljb5g1e7tepszgrog3b', 'https://photo.superimmo.com/wmqre56hph0m1zjda69w5nb8ql3h', None, None, None, None, None]
